timestamp,worker_nombre,worker_ip,cpu_total,ram_total_gb,storage_total_gb,cpu_utilizado_bd,ram_utilizado_bd_gb,storage_utilizado_bd_gb,instancias_running,slices_detalle,cpu_percent_sistema,ram_percent_sistema,disk_percent_sistema,ram_sistema_gb,disk_free_gb,qemu_count
2025-11-29 00:03:49,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:03:49,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.0,28.1,39.4,1.08,5.76,0
2025-11-29 00:03:59,server4,192.168.201.4,4,7.76,9.51,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",2.0,14.8,43.2,1.15,5.4,3
2025-11-29 00:03:59,server3,N/A,4,3.84,9.51,0,0,0,0,,0.5,16.0,45.2,0.61,5.21,0
2025-11-29 00:03:59,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.0,28.0,39.4,1.08,5.76,0
2025-11-29 00:03:59,server2,N/A,4,3.84,9.51,0,0,0,0,,0.0,15.8,40.9,0.61,5.62,0
2025-11-29 00:03:59,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:03:59,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.3,28.1,39.4,1.08,5.76,0
2025-11-29 00:04:09,server4,192.168.201.4,4,7.76,9.51,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",1.5,14.7,43.2,1.14,5.4,3
2025-11-29 00:04:09,server3,N/A,4,3.84,9.51,0,0,0,0,,0.5,16.0,45.2,0.61,5.21,0
2025-11-29 00:04:09,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.3,28.0,39.4,1.08,5.76,0
2025-11-29 00:04:09,server2,N/A,4,3.84,9.51,0,0,0,0,,0.2,15.8,40.9,0.61,5.62,0
2025-11-29 00:04:09,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:04:09,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.1,39.4,1.08,5.76,0
2025-11-29 00:04:19,server4,192.168.201.4,4,7.76,9.51,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",0.5,14.7,43.2,1.14,5.4,3
2025-11-29 00:04:19,server3,N/A,4,3.84,9.51,0,0,0,0,,0.3,16.0,45.2,0.61,5.21,0
2025-11-29 00:04:19,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.3,28.0,39.4,1.08,5.76,0
2025-11-29 00:04:19,server2,N/A,4,3.84,9.51,0,0,0,0,,0.2,15.8,40.9,0.61,5.62,0
2025-11-29 00:04:19,worker1,N/A,4,3.84,9.5,0,0,0,0,,2.5,27.7,35.6,1.06,6.12,0
2025-11-29 00:04:19,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.1,39.4,1.08,5.76,0
2025-11-29 00:04:29,server4,192.168.201.4,4,7.76,9.51,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",0.7,14.7,43.2,1.14,5.4,3
2025-11-29 00:04:29,server3,N/A,4,3.84,9.51,0,0,0,0,,0.3,16.0,45.2,0.61,5.21,0
2025-11-29 00:04:29,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.0,39.4,1.08,5.76,0
2025-11-29 00:04:29,server2,N/A,4,3.84,9.51,0,0,0,0,,0.2,15.8,40.9,0.61,5.62,0
2025-11-29 00:04:29,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:04:29,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.1,39.4,1.08,5.76,0
2025-11-29 00:04:39,server4,192.168.201.4,4,7.76,9.51,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",0.5,14.7,43.2,1.14,5.4,3
2025-11-29 00:04:39,server3,N/A,4,3.84,9.51,0,0,0,0,,1.0,16.0,45.2,0.61,5.21,0
2025-11-29 00:04:39,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.5,28.0,39.4,1.08,5.76,0
2025-11-29 00:04:39,server2,N/A,4,3.84,9.51,0,0,0,0,,0.0,15.8,40.9,0.61,5.62,0
2025-11-29 00:04:39,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.3,27.7,35.6,1.06,6.12,0
2025-11-29 00:04:39,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.1,39.4,1.08,5.76,0
2025-11-29 00:04:49,server4,192.168.201.4,4,7.76,9.51,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",1.5,14.7,43.2,1.14,5.4,3
2025-11-29 00:04:49,server3,N/A,4,3.84,9.51,0,0,0,0,,0.2,16.0,45.2,0.61,5.21,0
2025-11-29 00:04:49,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.0,39.4,1.08,5.76,0
2025-11-29 00:04:49,server2,N/A,4,3.84,9.51,0,0,0,0,,0.5,15.8,40.9,0.61,5.62,0
2025-11-29 00:04:49,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.2,27.7,35.6,1.06,6.12,0
2025-11-29 00:04:49,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.1,39.4,1.08,5.76,0
2025-11-29 00:04:59,server4,192.168.201.4,4,7.76,9.51,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",1.0,14.7,43.2,1.14,5.4,3
2025-11-29 00:04:59,server3,N/A,4,3.84,9.51,0,0,0,0,,0.2,16.0,45.2,0.61,5.21,0
2025-11-29 00:04:59,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.0,28.0,39.4,1.08,5.76,0
2025-11-29 00:04:59,server2,N/A,4,3.84,9.51,0,0,0,0,,0.0,15.8,40.9,0.61,5.62,0
2025-11-29 00:04:59,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:04:59,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.5,28.1,39.4,1.08,5.76,0
